timestamp,x,y,z
0,10.07,0.97,6.86
10,12.07,0.49,6.04
20,13.75,-0.07,4.98
30,15.16,-0.33,3.8
40,16.4,-0.58,2.72
50,18.01,-0.93,1.71
60,19.56,-1.21,0.85
70,20.79,-1.54,0.71
80,21.32,-2.11,1.09
90,20.56,-2.87,1.62
100,18.7,-3.41,2.73
110,16.84,-3.73,4.12
120,15.59,-4.11,5.33
130,14.35,-4.36,6.29
140,13.06,-4.53,7.07
150,11.74,-4.59,8.04
160,10.27,-4.33,9.12
170,9.42,-4.17,10.18
180,8.3,-3.68,11.4
190,6.87,-3.22,12.53
200,5.23,-2.74,13.22
210,3.35,-2.08,13.3
220,1.72,-1.56,12.97
230,0.45,-1.2,12.49
240,-0.74,-0.75,12.01
250,-2.04,0.02,11.45
260,-3.67,0.87,11.02
270,-5.18,1.32,10.59
280,-6.9,1.68,10.27
290,-9.28,1.84,10.45
300,-11.94,2.13,10.94
310,-14.15,2.74,11.56
320,-15.36,3.51,12.15
330,-15.84,4.09,12.8
340,-15.73,4.45,13.48
350,-14.54,4.44,13.74
360,-13.19,4.35,13.39
370,-12.68,4.14,12.54
380,-12.42,3.73,11.63
390,-11.95,3.22,11.0
400,-11.74,2.35,10.67
410,-11.52,1.44,10.58
420,-11.27,0.49,10.92
430,-11.6,0.49,10.99
440,-11.93,0.08,10.47
450,-11.87,-0.66,10.18
460,-11.27,-1.04,9.3
470,-9.82,-1.72,9.06
480,-7.64,-2.53,9.8
490,-5.3,-3.01,10.78
500,-3.56,-3.23,11.65
510,-2.39,-2.95,12.02
520,-1.95,-2.1,12.05
530,-2.02,-1.47,11.71
540,-2.18,-1.52,10.48
550,-1.5,-2.32,8.71
560,0.75,-3.48,7.55
570,3.37,-4.4,7.49
580,6.25,-4.65,8.48
590,8.3,-4.37,10.16
600,9.3,-4.08,11.88
610,10.17,-3.87,12.71
620,10.85,-3.66,13.02
630,11.44,-4.07,12.48
640,12.59,-4.84,11.47
650,14.48,-5.4,11.09
660,16.38,-5.59,11.41
670,17.86,-5.59,11.98
680,18.75,-5.16,12.92
690,19.36,-4.98,13.54
700,20.18,-4.99,13.63
710,20.96,-5.04,13.36
720,21.26,-5.21,12.78
730,21.41,-5.52,12.19
740,21.86,-5.89,11.86
750,21.67,-5.73,11.61
760,21.23,-5.99,11.55
770,20.48,-6.01,11.22
780,19.04,-6.23,10.61
790,17.14,-6.45,9.51
800,15.43,-6.83,8.27
810,13.63,-7.17,7.27
820,11.71,-7.51,6.52
830,10.67,-7.82,6.74
840,9.78,-7.85,7.03
850,8.79,-8.02,7.25
860,7.53,-7.76,7.78
870,6.53,-6.97,8.56
880,6.22,-5.93,9.56
890,5.8,-5.52,10.56
900,4.45,-6.13,11.27
910,1.98,-6.8,11.94
920,-1.62,-7.17,12.58
930,-5.16,-7.03,12.88
940,-7.45,-6.3,13.11
950,-8.38,-4.97,13.32
960,-8.03,-3.76,13.14
970,-7.32,-2.74,12.37
980,-7.58,-2.89,11.44
990,-8.69,-3.1,10.56
1000,-10.03,-3.04,10.03
