timestamp,x,y,z
0,8.03,-2.04,2.53
10,9.01,-3.5,1.51
20,10.04,-4.07,1.07
30,10.51,-4.13,1.24
40,12.0,-4.0,1.09
50,15.56,-4.09,0.29
60,20.36,-4.41,-0.73
70,23.33,-4.93,-1.58
80,23.53,-5.5,-2.02
90,23.06,-5.9,-1.54
100,23.33,-6.0,-0.1
110,23.36,-6.05,1.76
120,23.01,-5.94,3.55
130,22.03,-5.89,4.85
140,20.34,-5.82,5.59
150,18.38,-5.81,6.03
160,16.58,-5.96,6.46
170,14.65,-5.96,7.09
180,12.7,-5.78,7.76
190,10.71,-5.57,8.23
200,9.17,-5.3,8.48
210,7.8,-4.81,8.61
220,6.27,-4.12,8.78
230,5.0,-3.41,9.28
240,3.69,-2.79,10.12
250,2.28,-2.51,10.95
260,0.65,-2.3,11.64
270,-1.01,-1.49,12.11
280,-2.49,-0.46,12.47
290,-3.83,0.41,12.59
300,-5.28,1.27,12.65
310,-6.65,1.76,12.78
320,-7.93,2.06,13.09
330,-9.42,2.5,13.43
340,-10.95,2.83,13.64
350,-11.5,3.49,13.74
360,-10.9,4.29,13.77
370,-10.3,4.7,13.89
380,-10.08,4.9,14.12
390,-9.9,4.91,14.25
400,-9.38,4.9,14.19
410,-8.11,4.81,14.1
420,-6.85,4.65,13.85
430,-5.79,4.5,13.39
440,-5.2,4.23,12.73
450,-5.01,3.81,12.08
460,-5.32,3.76,11.51
470,-6.05,3.66,11.13
480,-6.52,3.18,10.55
490,-6.76,2.51,9.86
500,-6.62,1.73,9.19
510,-6.52,1.08,8.63
520,-6.57,0.86,8.46
530,-6.49,0.9,8.94
540,-5.74,1.23,9.63
550,-4.62,1.41,10.14
560,-3.96,1.2,10.18
570,-3.86,0.92,9.8
580,-3.55,0.22,9.18
590,-2.85,-0.82,8.48
600,-1.63,-1.53,8.31
610,-0.1,-1.48,8.75
620,0.97,-0.97,9.53
630,1.5,-0.14,10.65
640,2.0,0.63,11.35
650,2.95,0.65,11.1
660,4.21,0.03,9.84
670,5.89,-0.62,9.05
680,7.9,-1.19,9.27
690,8.82,-0.95,10.29
700,8.44,-0.25,11.44
710,7.9,0.09,11.88
720,8.1,-0.11,11.65
730,9.39,-0.61,11.19
740,11.63,-1.24,11.15
750,14.14,-1.56,11.54
760,16.51,-1.83,12.07
770,18.2,-2.07,12.37
780,18.8,-1.96,12.58
790,18.07,-2.6,12.44
800,17.5,-2.21,12.07
810,17.67,-2.69,11.71
820,18.05,-3.02,11.71
830,18.05,-3.11,11.67
840,17.76,-3.26,11.33
850,17.61,-3.45,10.75
860,17.54,-3.61,10.23
870,17.24,-3.74,9.95
880,16.46,-3.81,9.62
890,15.69,-4.09,9.18
900,15.11,-4.35,8.91
910,14.14,-4.64,8.8
920,12.79,-4.94,8.74
930,11.41,-5.23,8.84
940,10.08,-5.36,8.94
950,8.98,-5.47,8.75
960,8.12,-5.45,8.33
970,7.5,-5.23,7.85
980,6.62,-5.02,7.44
990,5.42,-4.65,7.47
1000,4.58,-4.44,7.89
