timestamp,x,y,z
0,5.96,5.45,5.61
10,6.81,5.5,5.73
20,8.37,5.26,5.6
30,9.82,4.75,5.09
40,10.57,4.24,4.52
50,10.9,3.88,4.24
60,11.29,3.31,4.18
70,12.24,2.62,4.31
80,14.32,1.72,4.01
90,16.84,0.79,3.67
100,18.18,0.52,3.7
110,18.0,0.69,3.65
120,17.04,0.78,3.61
130,16.36,0.39,3.72
140,16.05,-0.05,4.34
150,15.34,-0.3,5.34
160,14.15,-0.47,6.39
170,12.44,-0.62,7.22
180,10.4,-0.64,7.72
190,7.84,-0.47,8.34
200,5.61,-0.24,9.1
210,3.67,0.03,9.88
220,2.25,0.39,10.74
230,0.87,1.12,11.38
240,-0.64,1.86,11.36
250,-2.06,2.49,10.66
260,-3.29,3.07,9.53
270,-4.3,3.62,8.69
280,-5.41,4.34,8.49
290,-6.41,4.84,8.67
300,-7.19,5.27,9.22
310,-7.35,5.66,10.0
320,-7.28,6.28,10.67
330,-6.97,6.44,11.01
340,-7.4,7.01,11.05
350,-8.41,7.42,11.09
360,-9.32,7.64,10.91
370,-9.97,7.59,10.45
380,-10.35,7.5,9.55
390,-10.28,7.01,8.64
400,-10.03,6.6,8.2
410,-10.52,6.74,8.07
420,-10.9,6.48,7.87
430,-10.89,6.14,7.67
440,-10.34,5.43,7.44
450,-9.49,4.7,7.54
460,-9.21,4.2,8.2
470,-9.01,3.61,9.22
480,-8.43,3.24,10.28
490,-7.28,3.05,11.25
500,-6.06,2.88,11.73
510,-5.54,2.74,11.63
520,-5.72,2.45,10.94
530,-6.17,2.17,9.8
540,-6.3,1.57,8.76
550,-5.81,0.77,8.17
560,-4.7,0.22,8.18
570,-3.29,-0.22,8.31
580,-2.07,-0.13,8.68
590,-1.06,0.29,9.37
600,0.11,0.69,9.87
610,2.1,0.62,9.65
620,4.17,0.58,9.15
630,5.4,0.0,8.62
640,6.26,-0.69,8.35
650,7.64,-1.3,8.93
660,9.15,-1.34,10.34
670,10.17,-0.77,11.82
680,10.71,-0.22,12.58
690,11.39,-0.48,11.98
700,12.47,-1.36,10.51
710,14.48,-2.21,9.77
720,17.11,-2.53,10.33
730,19.37,-2.62,11.72
740,20.47,-2.64,12.81
750,20.29,-2.38,13.3
760,19.43,-2.34,12.9
770,18.78,-2.82,11.56
780,18.44,-3.41,10.29
790,18.59,-4.11,9.55
800,18.82,-4.79,9.55
810,18.63,-5.01,10.3
820,17.93,-5.27,10.78
830,16.99,-5.77,10.49
840,15.98,-6.1,10.23
850,14.8,-6.29,9.89
860,13.61,-6.57,9.27
870,12.84,-7.08,8.57
880,12.24,-7.9,8.13
890,11.25,-8.57,8.11
900,9.34,-9.44,8.05
910,6.62,-9.96,7.89
920,3.92,-9.78,7.88
930,1.89,-9.16,8.04
940,0.82,-8.45,8.04
950,0.31,-7.52,8.22
960,-0.49,-6.17,9.64
970,-0.91,-4.75,11.77
980,-1.07,-3.58,13.47
990,-2.54,-2.98,14.74
1000,-4.99,-2.63,15.66
